,session,cluster,phase,mean_hit,mean_miss,ps_hm,mean_go,mean_nogo,ps_tot,mean_falarm,mean_creject,ps_fc
1640,BS_40_10_AC.pickle,23,pre late,0.0831967213114754,0.08888888888888888,0.6735851454232541,0.06909975669099756,0.06296296296296296,0.44163576100495094,0.04850299401197606,0.049999999999999996,0.8770147234257862
1641,BS_40_10_AC.pickle,24,pre late,0.10860655737704918,0.0253968253968254,3.3213618174308043e-06,0.13017031630170317,0.03968253968253968,1.5949094903890974e-14,0.16167664670658682,0.04682539682539682,3.2274976887594726e-12
1642,BS_40_10_AC.pickle,25,pre late,0.03505154639175257,0.075,0.2784841340546993,0.04858757062146892,0.02391304347826087,0.16869159941367293,0.065,0.013157894736842105,0.02141634380798778
1643,BS_40_10_AC.pickle,44,pre late,0.08082191780821918,0.09672131147540984,0.4009831012927209,0.07245179063360882,0.0903225806451613,0.10964229597092094,0.05972222222222222,0.0872,0.05348938631637361
1644,BS_40_10_AC.pickle,50,pre late,0.018032786885245903,0.022222222222222223,0.5334372830292367,0.01824817518248175,0.020634920634920638,0.5638582503231518,0.018562874251497007,0.01984126984126984,0.816459500915613
1645,BS_40_10_AC.pickle,53,pre late,0.01,0.027419354838709678,0.010637612415103784,0.008991825613079022,0.020320855614973266,0.010268226191542017,0.007482993197278912,0.016800000000000002,0.13278667443237882
1646,BS_40_10_AC.pickle,55,pre late,0.13401639344262295,0.17619047619047615,0.029825632683917584,0.12238442822384428,0.15873015873015872,0.002075421756407698,0.10538922155688621,0.15000000000000002,0.0037821700288552095
1647,BS_40_10_AC.pickle,58,pre late,0.08483606557377049,0.10476190476190474,0.13230613274793832,0.08102189781021897,0.1021164021164021,0.016072045943978562,0.07544910179640718,0.10079365079365078,0.0426842749785391
1648,BS_40_10_AC.pickle,73,pre late,0.22147239263803678,0.15245901639344261,0.021007922997462215,0.2231660231660232,0.20944444444444446,0.5165803823593497,0.22604166666666667,0.238655462184874,0.6957999618517754
1649,BS_41_8_AC.pickle,13,post late,0.1335,0.14444444444444446,0.7353557910901899,0.12684931506849315,0.08225806451612903,0.009550570628868363,0.1187878787878788,0.056818181818181816,0.001795084206405365
1650,BS_41_8_AC.pickle,15,post late,0.10876288659793815,0.023529411764705882,0.0077778750030191275,0.09488636363636366,0.06666666666666668,0.09244887131000958,0.07784810126582277,0.08372093023255815,0.7596166440255129
1651,BS_41_8_AC.pickle,16,post late,0.15517241379310345,0.052000000000000005,0.03501422013926095,0.14821002386634846,0.06419753086419752,0.0029835363421146775,0.139572192513369,0.06964285714285713,0.050321877973642924
1652,BS_41_8_AC.pickle,17,post late,0.04852941176470589,0.022222222222222223,0.3783915033168189,0.04871794871794872,0.03333333333333333,0.3452374504985701,0.0489795918367347,0.0375,0.5764729616943725
1653,BS_41_8_AC.pickle,25,post late,0.028506787330316745,0.018181818181818184,0.41261031979008234,0.038403990024937655,0.0445945945945946,0.557778152969269,0.050555555555555555,0.055769230769230765,0.749012139786208
1654,BS_41_8_AC.pickle,40,post late,0.023280423280423283,0.03125,0.5077201884400756,0.022514619883040935,0.027586206896551727,0.4353307507635864,0.021568627450980392,0.02619047619047619,0.5607169965789801
1655,BS_41_8_AC.pickle,49,post late,0.05084745762711865,0.06000000000000001,0.6713025277419986,0.05583596214511042,0.05535714285714286,0.9705202997806276,0.06214285714285714,0.05365853658536586,0.6276908225765503
1656,BS_41_8_AC.pickle,57,post late,0.07222222222222222,0.04666666666666667,0.3985985089056946,0.09012345679012347,0.04642857142857143,0.011077919791694936,0.11249999999999999,0.046341463414634146,0.002498904664417904
1657,BS_41_8_AC.pickle,58,post late,0.06820809248554914,0.028571428571428574,0.1479913857214525,0.049523809523809526,0.01875,0.01410415089882396,0.026760563380281696,0.014705882352941176,0.20097932575026328
1658,BS_41_8_AC.pickle,59,post late,0.26634146341463416,0.2473684210526316,0.6444016464564306,0.25866666666666666,0.2571428571428572,0.9445216877376,0.24941176470588233,0.2613636363636363,0.636629940997147
1659,BS_41_8_AC.pickle,60,post late,0.14023668639053255,0.07333333333333333,0.037501746872304786,0.1803986710963455,0.18,0.9842475766628402,0.23181818181818187,0.22000000000000003,0.6384879365838807
1660,BS_41_8_AC.pickle,61,post late,0.027927927927927927,0.04,0.6626287914894534,0.10809523809523809,0.15000000000000002,0.29858312032962325,0.197979797979798,0.19230769230769235,0.9203517474798695
1661,BS_41_8_AC.pickle,66,post late,0.0228448275862069,0.028000000000000004,0.6496225151032621,0.021479713603818614,0.024691358024691357,0.592757486566553,0.019786096256684496,0.023214285714285715,0.6132770205309186
1662,BS_41_8_AC.pickle,67,post late,0.06780487804878048,0.06315789473684211,0.8068855587099003,0.07680000000000001,0.073015873015873,0.7322088817903788,0.08764705882352941,0.07727272727272728,0.4577860430709938
1663,BS_41_8_AC.pickle,69,post late,0.04336734693877551,0.058823529411764705,0.5370404695458124,0.04450704225352113,0.06333333333333332,0.17213867802945956,0.045911949685534595,0.06511627906976745,0.25950656759378715
1664,BS_41_8_AC.pickle,72,post late,0.03758389261744967,0.03076923076923077,0.700235211253698,0.039473684210526314,0.03333333333333333,0.5505300500240183,0.04188034188034188,0.034375,0.5744497061456557
1665,BS_41_8_AC.pickle,77,post late,0.3853448275862069,0.37199999999999994,0.8329880965779768,0.35489260143198087,0.3345679012345679,0.5531050159334012,0.31711229946524067,0.3178571428571429,0.9849257323796546
1666,BS_41_8_AC.pickle,79,post late,0.40797872340425534,0.35624999999999996,0.3472016137268033,0.4237536656891496,0.4224137931034483,0.9670824396719996,0.44313725490196076,0.4476190476190477,0.9163141197239704
1667,BS_41_8_AC.pickle,82,post late,0.07626262626262625,0.1277777777777778,0.04270910882131203,0.060664819944598346,0.06935483870967743,0.48175874161761684,0.04171779141104295,0.045454545454545456,0.7463521978708935
1668,BS_41_8_AC.pickle,89,post late,0.0015151515151515152,0.0,0.7653911012866031,0.05714285714285715,0.095,0.058141657939050725,0.12641509433962264,0.13571428571428573,0.6850966429203611
1669,BS_42_4_AC.pickle,0,post early,0.05537848605577689,0.10384615384615387,0.00015100081266197066,0.05668202764976959,0.086,0.0012796156608277346,0.058469945355191254,0.07459016393442622,0.22833694908630187
1670,BS_42_4_AC.pickle,1,post early,0.07609561752988048,0.10769230769230773,0.014437012141305754,0.06774193548387097,0.1075,3.169771038633499e-06,0.056284153005464486,0.10737704918032787,1.2476754844772135e-05
1671,BS_42_4_AC.pickle,7,post early,0.10278884462151394,0.1115384615384615,0.5331590697491799,0.11474654377880183,0.1155,0.9379058275163185,0.13114754098360656,0.1180327868852459,0.33976104857953726
1672,BS_42_4_AC.pickle,12,post early,0.011607142857142858,0.0030303030303030303,0.1754338601749815,0.016304347826086956,0.00202020202020202,0.07940633075143161,0.023611111111111114,0.0015151515151515152,0.1404027347348495
1673,BS_42_4_AC.pickle,13,post early,0.05179282868525897,0.0846153846153846,0.01336599299498953,0.04308755760368664,0.0705,0.001011013664874666,0.031147540983606562,0.06147540983606557,0.004589406282873874
1674,BS_42_4_AC.pickle,16,post early,0.13904382470119522,0.13205128205128203,0.7544238741336429,0.14331797235023042,0.14900000000000002,0.6888338099503892,0.14918032786885244,0.1598360655737705,0.5665709393174917
1675,BS_42_4_AC.pickle,18,post early,0.08087649402390437,0.0641025641025641,0.3114577894108652,0.10714285714285714,0.09350000000000001,0.23931692515840472,0.14316939890710384,0.11229508196721312,0.0563352887004532
1676,BS_42_4_AC.pickle,26,post early,0.4972111553784861,0.291025641025641,1.3170088758361196e-09,0.5152073732718895,0.31250000000000006,8.593740244401225e-20,0.5398907103825136,0.32622950819672136,1.6213644147534078e-12
