,animal,session,cluster ID,phase,condition,FR modulation
297,BS_72,BS_72_6_AC.pickle,28,post late,behaving,2.960000000000004
298,BS_72,BS_72_6_AC.pickle,31,post late,behaving,8.69333333333334
299,BS_72,BS_72_6_AC.pickle,32,post late,behaving,2.7188081936685298
300,BS_72,BS_72_6_AC.pickle,40,post late,behaving,21.863799283154098
301,BS_72,BS_72_6_AC.pickle,41,post late,behaving,5.613333333333349
302,BS_72,BS_72_6_AC.pickle,57,post late,behaving,3.713768115942031
303,BS_72,BS_72_6_AC.pickle,61,post late,behaving,9.069373942470387
304,BS_72,BS_72_6_AC.pickle,65,post late,behaving,2.0788530465949817
305,BS_72,BS_72_7_AC.pickle,12,post late,behaving,1.0836277974087158
306,BS_72,BS_72_7_AC.pickle,14,post late,behaving,17.723132969034598
307,BS_72,BS_72_7_AC.pickle,15,post late,behaving,5.373406193078319
308,BS_72,BS_72_7_AC.pickle,16,post late,behaving,13.806921675774136
309,BS_72,BS_72_7_AC.pickle,33,post late,behaving,50.692167577413485
310,BS_72,BS_72_8_AC.pickle,5,post late,behaving,11.756978653530378
311,BS_72,BS_72_8_AC.pickle,10,post late,behaving,31.724137931034477
312,BS_72,BS_72_8_AC.pickle,23,post late,behaving,8.243021346469627
313,BS_72,BS_72_9_AC.pickle,8,post late,behaving,10.048309178743963
314,BS_72,BS_72_9_AC.pickle,11,post late,behaving,4.806763285024148
315,BS_87,BS_87_10_AC.pickle,4,post expert,behaving,7.348484848484848
316,BS_87,BS_87_11_AC.pickle,1,post expert,behaving,0.6403013182674195
317,BS_87,BS_87_11_AC.pickle,4,post expert,behaving,5.68738229755179
318,BS_87,BS_87_1_AC.pickle,7,pre expert,behaving,3.197831978319783
319,BS_87,BS_87_1_AC.pickle,12,pre expert,behaving,29.97289972899729
320,BS_87,BS_87_1_AC.pickle,30,pre expert,behaving,1.8970189701897027
321,BS_87,BS_87_1_AC.pickle,39,pre expert,behaving,67.80487804878047
322,BS_87,BS_87_2_AC.pickle,25,pre expert,behaving,28.447837150127228
323,BS_87,BS_87_4_AC.pickle,3,post early,behaving,25.031446540880523
324,BS_87,BS_87_4_AC.pickle,15,post early,behaving,4.685534591194957
325,BS_87,BS_87_4_AC.pickle,18,post early,behaving,5.424528301886788
326,BS_87,BS_87_4_AC.pickle,19,post early,behaving,2.9874213836478005
327,BS_87,BS_87_4_AC.pickle,26,post early,behaving,33.738848337388504
328,BS_87,BS_87_4_AC.pickle,27,post early,behaving,23.09748427672956
329,BS_87,BS_87_4_AC.pickle,33,post early,behaving,3.0660377358490445
330,BS_87,BS_87_4_AC.pickle,34,post early,behaving,22.123142250530776
331,BS_87,BS_87_4_AC.pickle,38,post early,behaving,23.238993710691823
332,BS_87,BS_87_4_AC.pickle,44,post early,behaving,21.63934426229508
