,animal,session,cluster ID,learning phase,Stim decoding accuracy,FR modulation
207,BS_49,BS_49_4_AC.pickle,45,pre early,0.620336538,17.599999999999994
208,BS_49,BS_49_4_AC.pickle,46,pre early,0.561426282,22.866666666666656
209,BS_49,BS_49_4_AC.pickle,53,pre early,0.742003205,34.66666666666667
210,BS_49,BS_49_4_AC.pickle,55,pre early,0.564807692,3.066666666666667
211,BS_49,BS_49_4_AC.pickle,56,pre early,0.634455128,16.20000000000001
212,BS_49,BS_49_4_AC.pickle,68,pre early,0.767612179,16.199999999999992
213,BS_49,BS_49_4_AC.pickle,71,pre early,0.582291667,2.4000000000000004
214,BS_49,BS_49_4_AC.pickle,73,pre early,0.66349359,12.4
215,BS_49,BS_49_7_AC.pickle,2,pre late,0.759465067,4.8717948717948705
216,BS_49,BS_49_9_AC.pickle,18,pre late,0.562097822,17.622549019607856
217,BS_50,BS_50_2_AC.pickle,2,pre early,0.593343074,8.217054263565892
218,BS_50,BS_50_2_AC.pickle,14,pre early,0.61702723,13.901808785529713
219,BS_50,BS_50_2_AC.pickle,23,pre early,0.60285988,4.702842377260982
220,BS_50,BS_50_2_AC.pickle,35,pre early,0.860379905,27.338501291989672
221,BS_50,BS_50_2_AC.pickle,79,pre early,0.582810591,3.049095607235142
222,BS_50,BS_50_2_AC.pickle,83,pre early,0.565949749,2.8940568475452197
223,BS_50,BS_50_2_AC.pickle,88,pre early,0.598695304,2.790697674418605
224,BS_50,BS_50_3_AC.pickle,0,pre early,0.572685933,17.733333333333338
225,BS_50,BS_50_3_AC.pickle,3,pre early,0.949779006,65.79047619047616
226,BS_50,BS_50_3_AC.pickle,11,pre early,0.571198797,11.714285714285712
227,BS_50,BS_50_3_AC.pickle,16,pre early,0.581616267,3.6571428571428584
228,BS_50,BS_50_3_AC.pickle,21,pre early,0.64904354,6.553030303030304
229,BS_50,BS_50_3_AC.pickle,34,pre early,0.587434372,9.31428571428572
230,BS_50,BS_50_3_AC.pickle,41,pre early,0.803742522,37.3904761904762
231,BS_50,BS_50_3_AC.pickle,45,pre early,0.566415514,7.0132517838939865
232,BS_56,BS_56_1_AC.pickle,3,post expert,0.676945025,4.94505494505495
233,BS_56,BS_56_1_AC.pickle,14,post expert,0.560629991,0.952380952380952
234,BS_56,BS_56_2_AC.pickle,9,post expert,0.594866245,4.210526315789474
235,BS_56,BS_56_3_AC.pickle,7,post expert,0.601288305,0.5833333333333336
