,animal,session,cluster ID,learning phase,FR modulation
243,BS_72,BS_72_2_AC.pickle,52,pre expert,4.9350649350649345
244,BS_42,BS_42_3_AC.pickle,26,post early,2.0333333333333306
245,BS_42,BS_42_3_AC.pickle,27,post early,1.9455252918287929
246,BS_42,BS_42_3_AC.pickle,47,post early,2.103448275862068
247,BS_42,BS_42_3_AC.pickle,56,post early,5.7333333333333405
248,BS_42,BS_42_3_AC.pickle,96,post early,14.34878587196468
249,BS_42,BS_42_3_AC.pickle,101,post early,0.8659793814432997
250,BS_49,BS_49_2_AC.pickle,6,pre early,4.17254901960784
251,BS_49,BS_49_2_AC.pickle,11,pre early,4.188235294117644
252,BS_49,BS_49_2_AC.pickle,12,pre early,17.731481481481474
253,BS_49,BS_49_2_AC.pickle,31,pre early,11.921568627450982
254,BS_49,BS_49_2_AC.pickle,47,pre early,10.149019607843137
255,BS_49,BS_49_7_AC.pickle,2,pre late,4.8717948717948705
256,BS_87,BS_87_11_AC.pickle,1,post expert,0.6403013182674195
257,BS_87,BS_87_11_AC.pickle,4,post expert,5.68738229755179
258,BS_70,BS_70_9_AC.pickle,9,post late,2.565400843881853
259,BS_70,BS_70_9_AC.pickle,41,post late,0.8934707903780075
260,BS_70,BS_70_9_AC.pickle,48,post late,6.0903426791277235
261,BS_70,BS_70_9_AC.pickle,56,post late,10.999160369437451
262,BS_72,BS_72_13_AC.pickle,0,post late,1.321713870733477
263,BS_72,BS_72_13_AC.pickle,6,post late,4.671916010498688
264,BS_72,BS_72_13_AC.pickle,10,post late,7.267759562841531
265,BS_40,BS_40_15_AC.pickle,0,post early,1.2209302325581386
266,BS_42,BS_42_4_AC.pickle,36,post early,3.3274544385655545
267,BS_42,BS_42_4_AC.pickle,40,post early,42.947845804988646
268,BS_42,BS_42_4_AC.pickle,41,post early,38.7802313354363
269,BS_42,BS_42_4_AC.pickle,61,post early,8.874868559411139
270,BS_42,BS_42_4_AC.pickle,65,post early,2.660882140274765
271,DS_19,DS_19_18_AC.pickle,4,post expert,1.6969696969696966
272,DS_19,DS_19_18_AC.pickle,6,post expert,1.4787878787878799
273,DS_19,DS_19_18_AC.pickle,10,post expert,10.5939393939394
274,DS_19,DS_19_18_AC.pickle,30,post expert,1.818181818181817
275,BS_70,BS_70_12_AC.pickle,5,post late,1.5359477124183
276,BS_70,BS_70_12_AC.pickle,6,post late,3.1243781094527345
277,BS_70,BS_70_12_AC.pickle,19,post late,2.0080321285140563
278,BS_70,BS_70_12_AC.pickle,20,post late,2.5120772946859904
279,BS_42,BS_42_5_AC.pickle,33,post early,23.386666666666667
280,DS_19,DS_19_19_AC.pickle,2,post expert,8.825396825396819
281,DS_19,DS_19_19_AC.pickle,21,post expert,35.269841269841265
282,DS_19,DS_19_19_AC.pickle,27,post expert,3.1746031746031784
283,DS_19,DS_19_19_AC.pickle,38,post expert,1.0158730158730158
284,DS_19,DS_19_19_AC.pickle,42,post expert,12.126984126984127
285,DS_19,DS_19_19_AC.pickle,45,post expert,1.501831501831502
286,BS_41,BS_41_6_AC.pickle,3,post late,12.114093959731518
287,BS_41,BS_41_6_AC.pickle,6,post late,0.5591397849462366
288,BS_41,BS_41_6_AC.pickle,7,post late,7.483221476510067
289,BS_41,BS_41_6_AC.pickle,32,post late,1.4100185528756946
290,BS_108,BS_108_1_AC.pickle,2,pre expert,9.972451790633608
291,BS_108,BS_108_1_AC.pickle,8,pre expert,21.7741935483871
292,BS_108,BS_108_1_AC.pickle,9,pre expert,15.806451612903228
293,BS_108,BS_108_1_AC.pickle,34,pre expert,16.989247311827963
294,BS_72,BS_72_7_AC.pickle,12,post late,1.0836277974087158
295,BS_72,BS_72_7_AC.pickle,14,post late,17.723132969034598
296,BS_72,BS_72_7_AC.pickle,15,post late,5.373406193078319
297,BS_72,BS_72_7_AC.pickle,16,post late,13.806921675774136
298,BS_72,BS_72_7_AC.pickle,33,post late,50.692167577413485
299,BS_40,BS_40_16_AC.pickle,21,post early,27.48508098891727
300,BS_40,BS_40_16_AC.pickle,35,post early,21.605691056910562
301,BS_72,BS_72_8_AC.pickle,5,post late,11.756978653530378
302,BS_72,BS_72_8_AC.pickle,10,post late,31.724137931034477
303,BS_72,BS_72_8_AC.pickle,23,post late,8.243021346469627
304,BS_87,BS_87_1_AC.pickle,7,pre expert,3.197831978319783
305,BS_87,BS_87_1_AC.pickle,12,pre expert,29.97289972899729
306,BS_87,BS_87_1_AC.pickle,30,pre expert,1.8970189701897027
307,BS_87,BS_87_1_AC.pickle,39,pre expert,67.80487804878047
308,DS_15,DS_15_1_AC.pickle,3,pre expert,7.025948103792412
309,DS_15,DS_15_1_AC.pickle,5,pre expert,5.029940119760474
310,DS_15,DS_15_1_AC.pickle,22,pre expert,3.5129740518962067
311,DS_15,DS_15_1_AC.pickle,46,pre expert,11.976047904191617
312,DS_15,DS_15_1_AC.pickle,49,pre expert,3.512974051896207
313,DS_15,DS_15_1_AC.pickle,52,pre expert,2.355289421157685
314,DS_15,DS_15_1_AC.pickle,59,pre expert,6.107784431137721
315,DS_15,DS_15_1_AC.pickle,81,pre expert,3.1936127744510974
316,DS_15,DS_15_1_AC.pickle,87,pre expert,56.287425149700596
317,BS_72,BS_72_9_AC.pickle,8,post late,10.048309178743963
318,BS_72,BS_72_9_AC.pickle,11,post late,4.806763285024148
319,DS_19,DS_19_1_AC.pickle,12,pre expert,0.3921568627450981
320,DS_19,DS_19_1_AC.pickle,14,pre expert,0.7092198581560281
321,DS_19,DS_19_1_AC.pickle,15,pre expert,0.4232804232804235
322,DS_19,DS_19_1_AC.pickle,41,pre expert,6.619385342789598
323,DS_19,DS_19_1_AC.pickle,68,pre expert,3.2151300236406586
324,DS_19,DS_19_1_AC.pickle,96,pre expert,2.54606365159129
325,BS_72,BS_72_5_AC.pickle,0,post late,3.1643625192012292
326,BS_72,BS_72_5_AC.pickle,10,post late,39.34666666666668
327,BS_72,BS_72_5_AC.pickle,36,post late,20.210970464135016
328,BS_72,BS_72_5_AC.pickle,42,post late,35.62666666666672
329,BS_72,BS_72_5_AC.pickle,54,post late,0.9322033898305085
330,BS_41,BS_41_5_AC.pickle,13,post late,7.492354740061158
331,BS_41,BS_41_5_AC.pickle,15,post late,2.587064676616916
332,BS_41,BS_41_5_AC.pickle,68,post late,2.9226361031518597
333,BS_87,BS_87_8_AC.pickle,1,post late,2.9571984435797676
334,BS_87,BS_87_8_AC.pickle,2,post late,0.6560846560846563
335,BS_87,BS_87_8_AC.pickle,11,post late,0.9124767225325885
336,BS_87,BS_87_8_AC.pickle,45,post late,9.925512104283085
337,BS_87,BS_87_8_AC.pickle,66,post late,0.6553672316384178
338,BS_49,BS_49_14_AC.pickle,16,post late,0.7246376811594224
339,DS_19,DS_19_20_AC.pickle,7,post expert,3.6614853195164114
340,DS_19,DS_19_20_AC.pickle,8,post expert,2.867012089810018
341,DS_19,DS_19_20_AC.pickle,14,post expert,4.939550949913645
342,BS_87,BS_87_9_AC.pickle,3,post late,1.171875000000001
343,BS_87,BS_87_9_AC.pickle,4,post late,0.7956104252400539
344,BS_87,BS_87_9_AC.pickle,6,post late,1.1709601873536302
345,BS_87,BS_87_9_AC.pickle,27,post late,1.5749235474006134
346,BS_87,BS_87_9_AC.pickle,46,post late,0.5756731662024147
347,BS_87,BS_87_9_AC.pickle,60,post late,1.430745814307458
348,BS_87,BS_87_9_AC.pickle,87,post late,0.5787037037037044
349,BS_87,BS_87_9_AC.pickle,131,post late,1.221964423820572
350,BS_87,BS_87_9_AC.pickle,135,post late,1.0678210678210664
351,BS_41,BS_41_8_AC.pickle,13,post late,3.138173302107734
352,BS_41,BS_41_8_AC.pickle,58,post late,1.616161616161617
353,BS_41,BS_41_8_AC.pickle,60,post late,11.086142322097386
354,BS_41,BS_41_8_AC.pickle,61,post late,10.087719298245611
355,BS_41,BS_41_8_AC.pickle,66,post late,0.720000000000001
356,BS_41,BS_41_8_AC.pickle,67,post late,1.5677321156773214
357,BS_41,BS_41_8_AC.pickle,72,post late,1.6720257234726674
358,BS_41,BS_41_8_AC.pickle,77,post late,7.253333333333332
359,BS_41,BS_41_8_AC.pickle,82,post late,4.712371946414507
360,BS_42,BS_42_2_AC.pickle,8,post early,26.400000000000002
361,BS_42,BS_42_2_AC.pickle,9,post early,3.727422003284073
362,BS_42,BS_42_2_AC.pickle,12,post early,17.21333333333333
363,BS_42,BS_42_2_AC.pickle,14,post early,50.14666666666665
364,BS_42,BS_42_2_AC.pickle,15,post early,2.0800000000000036
365,BS_42,BS_42_2_AC.pickle,16,post early,65.78666666666653
366,BS_42,BS_42_2_AC.pickle,54,post early,16.600000000000005
367,BS_42,BS_42_2_AC.pickle,61,post early,8.893333333333334
