,animal,session,cluster ID,condition,FR modulation
237,AE_389,AE_389_4_opto_control_AC.pickle,179,pre expert control,7.552447552447551
238,AE_389,AE_389_4_opto_control_AC.pickle,185,pre expert control,2.2843822843822843
239,AE_389,AE_389_4_opto_control_AC.pickle,215,pre expert control,0.5673758865248226
240,AE_389,AE_389_4_opto_control_AC.pickle,218,pre expert control,0.8805031446540879
241,AE_389,AE_389_4_opto_control_AC.pickle,221,pre expert control,2.2843822843822843
242,AE_389,AE_389_4_opto_control_AC.pickle,222,pre expert control,3.1701631701631707
243,AE_389,AE_389_4_opto_control_AC.pickle,223,pre expert control,8.484848484848483
244,AE_389,AE_389_4_opto_control_AC.pickle,226,pre expert control,16.177156177156174
245,AE_389,AE_389_4_opto_control_AC.pickle,227,pre expert control,0.9061488673139165
246,AE_391,AE_391_1_opto_control_AC.pickle,30,post expert control,1.7409766454352458
247,AE_391,AE_391_1_opto_control_AC.pickle,66,post expert control,20.759493670886073
248,AE_391,AE_391_1_opto_control_AC.pickle,117,post expert control,12.747875354107647
249,AE_391,AE_391_1_opto_control_AC.pickle,132,post expert control,29.55618508026439
250,AE_391,AE_391_1_opto_control_AC.pickle,146,post expert control,2.795089707271008
251,AE_391,AE_391_1_opto_control_AC.pickle,168,post expert control,17.60151085930123
252,AE_391,AE_391_2_opto_control_AC.pickle,9,post expert control,3.676880222841227
253,AE_391,AE_391_2_opto_control_AC.pickle,26,post expert control,25.85585585585586
254,AE_391,AE_391_2_opto_control_AC.pickle,29,post expert control,15.228539576365659
255,AE_391,AE_391_2_opto_control_AC.pickle,43,post expert control,31.75487465181058
256,AE_391,AE_391_2_opto_control_AC.pickle,48,post expert control,26.133333333333333
257,AE_391,AE_391_2_opto_control_AC.pickle,54,post expert control,1.522748375116063
258,AE_391,AE_391_2_opto_control_AC.pickle,67,post expert control,34.11327762302693
259,AE_391,AE_391_2_opto_control_AC.pickle,68,post expert control,13.054781801299914
260,AE_391,AE_391_2_opto_control_AC.pickle,73,post expert control,8.26369545032498
261,AE_391,AE_391_2_opto_control_AC.pickle,76,post expert control,2.2822822822822815
262,AE_391,AE_391_2_opto_control_AC.pickle,88,post expert control,2.005571030640668
263,AE_391,AE_391_2_opto_control_AC.pickle,109,post expert control,12.95454545454545
264,AE_391,AE_391_2_opto_control_AC.pickle,123,post expert control,70.47353760445678
265,AE_391,AE_391_2_opto_control_AC.pickle,141,post expert control,5.88672237697307
266,AE_391,AE_391_2_opto_control_AC.pickle,145,post expert control,15.06035283194056
267,AE_391,AE_391_2_opto_control_AC.pickle,161,post expert control,2.54410399257196
268,AE_391,AE_391_2_opto_control_AC.pickle,174,post expert control,12.168525402726152
269,AE_391,AE_391_2_opto_control_AC.pickle,205,post expert control,1.3927576601671312
270,AE_391,AE_391_2_opto_control_AC.pickle,206,post expert control,2.274143302180684
271,AE_391,AE_391_2_opto_control_AC.pickle,208,post expert control,1.4999999999999996
272,AE_391,AE_391_3_opto_control_AC.pickle,9,post expert control,1.2765957446808522
273,AE_391,AE_391_3_opto_control_AC.pickle,15,post expert control,8.08988764044944
274,AE_391,AE_391_3_opto_control_AC.pickle,18,post expert control,4.419475655430712
275,AE_391,AE_391_3_opto_control_AC.pickle,34,post expert control,3.039591315453384
276,AE_391,AE_391_3_opto_control_AC.pickle,38,post expert control,13.59149582384205
277,AE_391,AE_391_3_opto_control_AC.pickle,39,post expert control,1.761579347000759
278,AE_391,AE_391_3_opto_control_AC.pickle,41,post expert control,23.963553530751742
279,AE_391,AE_391_3_opto_control_AC.pickle,58,post expert control,1.2452543659832964
280,AE_391,AE_391_3_opto_control_AC.pickle,61,post expert control,2.746913580246913
281,AE_391,AE_391_3_opto_control_AC.pickle,62,post expert control,1.2353567625133117
282,AE_391,AE_391_3_opto_control_AC.pickle,80,post expert control,4.996203492786638
283,AE_391,AE_391_3_opto_control_AC.pickle,90,post expert control,41.002277904328054
284,AE_391,AE_391_3_opto_control_AC.pickle,99,post expert control,8.08988764044944
285,AE_391,AE_391_3_opto_control_AC.pickle,100,post expert control,2.0467836257309933
286,AE_391,AE_391_3_opto_control_AC.pickle,104,post expert control,6.119969627942301
287,AE_391,AE_391_3_opto_control_AC.pickle,107,post expert control,51.921032649962015
288,AE_391,AE_391_3_opto_control_AC.pickle,108,post expert control,7.835990888382682
289,AE_391,AE_391_3_opto_control_AC.pickle,117,post expert control,3.0173775671405996
290,AE_391,AE_391_3_opto_control_AC.pickle,118,post expert control,3.8569604086845475
291,AE_391,AE_391_3_opto_control_AC.pickle,128,post expert control,1.4379084967320284
292,AE_391,AE_391_3_opto_control_AC.pickle,144,post expert control,27.744874715261943
293,AE_391,AE_391_3_opto_control_AC.pickle,158,post expert control,2.1794871794871784
294,AE_415,AE_415_1_opto_AC.pickle,9,post expert opto,1.9809523809523808
295,AE_415,AE_415_1_opto_AC.pickle,12,post expert opto,3.1531531531531516
