,session,clust,accuracy,NCR_ratio,learning_phase,animal
126,BS_119_2_opto_AC.pickle,"[16, 61, 129, 161, 173, 176, 189]",0.4605608974358974,0.2857142857142857,post_early,BS_119_2_opto_AC
127,BS_119_2_opto_AC.pickle,"[16, 61, 79, 106, 140, 173, 189]",0.5664672822159774,0.1428571428571428,post_early,BS_119_2_opto_AC
128,BS_119_2_opto_AC.pickle,"[12, 67, 70, 91, 163, 173, 189]",0.5989999999999999,0.1428571428571428,post_early,BS_119_2_opto_AC
129,BS_119_2_opto_AC.pickle,"[12, 16, 50, 67, 70, 79, 91]",0.5117999999999999,0.1428571428571428,post_early,BS_119_2_opto_AC
130,BS_119_2_opto_AC.pickle,"[16, 22, 61, 91, 140, 163, 176, 189]",0.528621794871795,0.125,post_early,BS_119_2_opto_AC
131,BS_119_2_opto_AC.pickle,"[53, 61, 67, 70, 129, 161, 173, 176]",0.5495192307692308,0.375,post_early,BS_119_2_opto_AC
132,BS_119_2_opto_AC.pickle,"[50, 53, 65, 79, 130, 140, 161, 189]",0.6617999999999999,0.125,post_early,BS_119_2_opto_AC
133,BS_119_2_opto_AC.pickle,"[16, 22, 50, 67, 79, 131, 140, 173]",0.6023999999999998,0.125,post_early,BS_119_2_opto_AC
134,BS_119_2_opto_AC.pickle,"[22, 65, 91, 106, 130, 140, 173, 189]",0.583849859494179,0.0,post_early,BS_119_2_opto_AC
135,BS_119_2_opto_AC.pickle,"[16, 22, 70, 106, 130, 131, 173]",0.6251340536214486,0.0,post_early,BS_119_2_opto_AC
136,BS_119_2_opto_AC.pickle,"[22, 61, 65, 131, 163, 173, 176]",0.5309615384615386,0.1428571428571428,post_early,BS_119_2_opto_AC
137,BS_119_2_opto_AC.pickle,"[50, 161, 173]",0.5822,0.3333333333333333,post_early,BS_119_2_opto_AC
138,BS_119_2_opto_AC.pickle,"[16, 53, 67, 70, 91, 106, 129, 173]",0.5770548219287714,0.125,post_early,BS_119_2_opto_AC
139,BS_119_2_opto_AC.pickle,"[12, 22, 53, 65, 91, 129, 161, 173]",0.5694717887154862,0.125,post_early,BS_119_2_opto_AC
140,BS_119_2_opto_AC.pickle,"[65, 67, 70, 79, 106, 129, 163, 176]",0.5898717948717949,0.125,post_early,BS_119_2_opto_AC
141,BS_119_2_opto_AC.pickle,"[12, 16, 50, 53, 67, 129, 131, 173]",0.6259983993597439,0.125,post_early,BS_119_2_opto_AC
142,BS_119_2_opto_AC.pickle,"[12, 61, 79, 106, 130, 161, 163, 173]",0.7088,0.25,post_early,BS_119_2_opto_AC
143,BS_119_2_opto_AC.pickle,"[12, 16, 65, 67, 70, 91, 106, 140]",0.612,0.125,post_early,BS_119_2_opto_AC
144,BS_119_2_opto_AC.pickle,"[16, 22, 50, 61, 65, 79, 129, 131]",0.6488315326130452,0.125,post_early,BS_119_2_opto_AC
145,BS_119_2_opto_AC.pickle,"[12, 50, 65, 129, 130, 131, 140, 163]",0.6892517006802721,0.0,post_early,BS_119_2_opto_AC
146,BS_119_2_opto_AC.pickle,"[12, 16, 53, 65, 67, 70, 131, 163, 189]",0.6695999999999999,0.1111111111111111,post_early,BS_119_2_opto_AC
147,BS_119_2_opto_AC.pickle,"[12, 22, 50, 65, 70, 140, 161, 163, 173]",0.6566,0.1111111111111111,post_early,BS_119_2_opto_AC
148,BS_119_2_opto_AC.pickle,"[50, 53, 65, 67, 70, 106, 131, 140, 161]",0.6652,0.2222222222222222,post_early,BS_119_2_opto_AC
149,BS_119_2_opto_AC.pickle,"[16, 65, 79, 131, 140, 161, 163, 176, 189]",0.5616987179487181,0.1111111111111111,post_early,BS_119_2_opto_AC
150,BS_119_2_opto_AC.pickle,"[22, 53, 61, 65, 70, 91, 129, 163, 189]",0.6044337735094037,0.1111111111111111,post_early,BS_119_2_opto_AC
151,BS_119_2_opto_AC.pickle,"[12, 16, 22, 53, 61, 67, 131, 161, 173]",0.6666,0.3333333333333333,post_early,BS_119_2_opto_AC
152,BS_119_2_opto_AC.pickle,"[22, 50, 61, 67, 131, 161, 163, 173, 189]",0.635,0.3333333333333333,post_early,BS_119_2_opto_AC
153,BS_119_2_opto_AC.pickle,"[16, 53, 61, 91, 129, 130, 131, 173, 189]",0.5960504201680673,0.1111111111111111,post_early,BS_119_2_opto_AC
